image_name,image_type,n_test_transitions,global_accuracy,markov_accuracy,conditioned_accuracy,conditioned_gain_pp
5115.png,pie,105,0.05714285714285714,0.26666666666666666,0.08571428571428572,-18.095238095238095
5137.png,h_bar,276,0.028985507246376812,0.2318840579710145,0.2246376811594203,-0.7246376811594207
5147.png,pie,90,0.0,0.3,0.3,0.0
51896745009097.png,line,180,0.03333333333333333,0.3277777777777778,0.37777777777777777,4.999999999999999
52368213001354.png,line,240,0.016666666666666666,0.225,0.21666666666666667,-0.8333333333333331
5249.png,h_bar,205,0.01951219512195122,0.16097560975609757,0.21951219512195122,5.853658536585366
5256.png,h_bar,180,0.05555555555555555,0.21666666666666667,0.2222222222222222,0.5555555555555536
5280.png,h_bar,318,0.006289308176100629,0.4088050314465409,0.3805031446540881,-2.8301886792452824
532.png,pie,229,0.026200873362445413,0.24017467248908297,0.2663755458515284,2.6200873362445423
5321.png,h_bar,662,0.013595166163141994,0.3187311178247734,0.2688821752265861,-4.984894259818734
5350.png,h_bar,284,0.056338028169014086,0.2323943661971831,0.2323943661971831,0.0
53962594007840.png,h_bar,203,0.034482758620689655,0.17733990147783252,0.18226600985221675,0.49261083743842304
5398.png,h_bar,273,0.05128205128205128,0.21245421245421245,0.20512820512820512,-0.7326007326007328
5401.png,h_bar,365,0.0,0.32602739726027397,0.27123287671232876,-5.47945205479452
5465.png,line,279,0.03942652329749104,0.34050179211469533,0.35125448028673834,1.0752688172043001
5685.png,line,608,0.03618421052631579,0.21875,0.2582236842105263,3.9473684210526327
574.png,h_bar,137,0.06569343065693431,0.3795620437956204,0.291970802919708,-8.75912408759124
577.png,h_bar,187,0.03208556149732621,0.1497326203208556,0.16042780748663102,1.0695187165775417
58052492002809.png,line,322,0.031055900621118012,0.2919254658385093,0.32298136645962733,3.1055900621118013
5826.png,h_bar,374,0.0106951871657754,0.4625668449197861,0.42245989304812837,-4.0106951871657746
5838.png,h_bar,648,0.015432098765432098,0.30864197530864196,0.30709876543209874,-0.15432098765432167
58415953006360.png,h_bar,89,0.0,0.07865168539325842,0.0898876404494382,1.1235955056179776
5888.png,h_bar,158,0.0,0.2848101265822785,0.3037974683544304,1.898734177215189
5955.png,h_bar,331,0.015105740181268883,0.27492447129909364,0.33534743202416917,6.042296072507552
